date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:28	62903/62903	---M-Z	200	added ('OK')	text/html	etag:%22b252909bbd44c9adf20b749561f7c149-ssl-df%22	https://mimity31.netlify.com/detail.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/detail.html	(from https://mimity31.netlify.com/)
15:43:28	32152/32152	---M-Z	200	added ('OK')	text/html	etag:%22d91e95760eccd483071d4b5cccc3f5f4-ssl-df%22	https://mimity31.netlify.com/register.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/register.html	(from https://mimity31.netlify.com/)
15:43:28	36054/36054	---M-Z	200	added ('OK')	text/html	etag:%2239634738f63f7abd3f7b22f763c27825-ssl-df%22	https://mimity31.netlify.com/account-order.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/account-order.html	(from https://mimity31.netlify.com/)
15:43:28	37332/37332	---M-Z	200	added ('OK')	text/html	etag:%223e94ed3f4388231e1c1a66738680563c-ssl-df%22	https://mimity31.netlify.com/account-profile.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/account-profile.html	(from https://mimity31.netlify.com/)
15:43:29	35259/35259	---M-Z	200	added ('OK')	text/html	etag:%223481484aeba3a82afe65b36cf0d7fc50-ssl-df%22	https://mimity31.netlify.com/account-address.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/account-address.html	(from https://mimity31.netlify.com/)
15:43:29	38116/38116	---M-Z	200	added ('OK')	text/html	etag:%22ce346a15696bb52d410ae8662775de05-ssl-df%22	https://mimity31.netlify.com/account-wishlist.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/account-wishlist.html	(from https://mimity31.netlify.com/)
15:43:29	33033/33033	---M-Z	200	added ('OK')	text/html	etag:%2226229c04153fbf95246e2c1695cf8716-ssl-df%22	https://mimity31.netlify.com/account-password.html	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/account-password.html	(from https://mimity31.netlify.com/)
15:43:29	455/455	---M--	200	added ('OK')	image/jpeg	etag:%22396b0d207f733c498556a256a3d2ceb8-ssl%22	https://mimity31.netlify.com/images/en.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/en.jpg	(from https://mimity31.netlify.com/)
15:43:29	555/555	---M--	200	added ('OK')	image/jpeg	etag:%2274c2cddc19955bb682763bebfcf28153-ssl%22	https://mimity31.netlify.com/images/fr.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/fr.jpg	(from https://mimity31.netlify.com/)
15:43:30	670/670	---M--	200	added ('OK')	image/png	etag:%22085690a67e1e806180f854afa6e234af-ssl%22	https://mimity31.netlify.com/images/logo-teal-small.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/logo-teal-small.png	(from https://mimity31.netlify.com/)
15:43:30	1745/1745	---M--	200	added ('OK')	image/png	etag:%2259808b1b80cb5b19e5e7dc1fbc678a3c-ssl%22	https://mimity31.netlify.com/images/logo-teal.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/logo-teal.png	(from https://mimity31.netlify.com/)
15:43:30	886/886	---M--	200	added ('OK')	image/png	etag:%222f68dc2b02857c54d00a499bd3448612-ssl%22	https://mimity31.netlify.com/images/wishlist.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/wishlist.png	(from https://mimity31.netlify.com/)
15:43:30	743/743	---M--	200	added ('OK')	image/png	etag:%223833001bcd18e54a501392c1e8557ff5-ssl%22	https://mimity31.netlify.com/images/cart.png	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/cart.png	(from https://mimity31.netlify.com/)
15:43:30	3537/3537	---M--	200	added ('OK')	image/jpeg	etag:%221ea269e33a35a2b51039284bb34e6027-ssl%22	https://mimity31.netlify.com/images/product/polo1-small.jpg	C:/xampp/htdocs/tienda/shop/mimity31.netlify.com/images/product/polo1-small.jpg	(from https://mimity31.netlify.com/)
